전산열설계 연구실,공학전문대학원,김찬중,301-1414,http://catd.snu.ac.kr/
전산열설계 연구실,기계공학부,김찬중,301동 1414호,
전산유체동력학연구실,건설환경공학부,Nguyen Van Thinh,35동 515호,http://cfdlabsnu.com
전산재료연구실,재료공학부,한승우,30-417,http://mdil.snu.ac.kr/
전산핵재료 연구실,원자핵공학과,오다 타쿠지,31동 416호,
전자재료및소자연구실,재료공학부,유상임,131-208,http://emdl.snu.ac.kr/
전자파 융합 연구실,전기·정보공학부,오정석,301동 804호,http://wfl.snu.ac.kr
전파 및 무선통신연구실,전기·정보공학부,김성철,"302동 511-1호, 132동 223-B호",http://maxwell.snu.ac.kr/
전파공학연구실,전기·정보공학부,남상욱,"132동 311호, 132동 308호",http://ael.snu.ac.kr/
"정밀고분자성형연구실 ", ,"윤재륜
",,http://polymer21.snu.ac.kr:8080/main.php
정밀공학 실험실,기계공학부,주종남,"301동 1315호, 1316호",http://prema.snu.ac.kr/
정밀측정 및 박막공정 연구실,기계공학부,박희재,"301동 1314호, 1356호",http://metrol.snu.ac.kr
정밀화학 연구실,화학생물공학부,김영규,302동 708호,http://finechem.snu.ac.kr/
정보경영 연구실,산업공학과,박종헌,39동 337호,http://imlab.snu.ac.kr
정보시스템연구실,전기·정보공학부,심병효,"301동 1117호, 132동 223A호",http://islab.snu.ac.kr
정보신호처리연구실,전기·정보공학부,조남익,"302동 416-1호, 132동 416호",http://ispl.snu.ac.kr
정보통신 정책전략,협동과정기술경영경제정책전공,황준석,37동320호,http://temep.snu.ac.kr
제어 및 동역학 연구실,전기·정보공학부,심형보,133동 307호,http://post.cdsl.kr
제어 및 최적화 연구실,전기·정보공학부,양인순,133동 313호,http://coregroup.snu.ac.kr
제품-서비스공학 연구실,산업공학과,홍유석,39동 318호,http://product.snu.ac.kr
지구환경경제연구실,에너지자원공학과,허은녕,38동 327호,http://enecon.snu.ac.kr
지능구조설계 연구실,기계공학부,조맹효,301동 1415호,http://ssnd.snu.ac.kr/
지능형 계산영상 연구실,전기·정보공학부,전세영,301동 1053-1호,http://seyoungchun.wordpress.com
지능형 데이터 시스템 연구실,컴퓨터공학부,이상구,"301동 420호, 138동 418호",http://ids.snu.ac.kr
지능형 동작 연구실,컴퓨터공학부,원정담,302동 312-1호,http://imo.snu.ac.kr
지능형 디스플레이 및 센서 연구실,전기·정보공학부,이재상,301동 906호,https://sites.google.com/view/snu-idsl/home
지능형 파동 시스템 연구실,전기·정보공학부,유선규,301동 913호,https://waves.snu.ac.kr
지능형공탄성 및 헬리콥터 연구실,항공우주공학과,신상준,301동1357-2호,http://helicopter.snu.ac.kr
지능형수소에너지시스템연구실,조선해양공학과,강상규,"34동 307, 308호",http://ihes.snu.ac.kr
지능형유도조합체 연구실,화학생물공학부,차국헌,302동 616호 & 311동 513호,http://intelligent-hybrids.snu.ac.kr/
지능형자동차 연구실,전기·정보공학부,서승우,"132동 405호, 132동 312호, 302동 517-1호, 302동 510-2호",http://vi.snu.ac.kr/
지반공학연구실,건설환경공학부,김성렬,35-303,http://geolab.snu.ac.kr
지반환경공학연구실,건설환경공학부,박준범,35-411,http://geolab.snu.ac.kr
지속가능공학연구실,건설환경공학부, 박주영,35-428,
지속가능정책 연구실,공학전문대학원,구윤모,38-402,http://gsep.snu.ac.kr/sustainable
지속가능환경기술개발연구실,건설환경공학부,최정권,35-220,http://set.snu.ac.kr
지하자원개발센터,에너지자원공학과,정훈영,38-325,http://petro.snu.ac.kr
집적시스템 설계연구실,전기·정보공학부,정덕균,104-1동 310호,http://isdl.snu.ac.kr
집적시스템설계 연구실,전기·정보공학부,정덕균,104-1동 310호,http://isdl.snu.ac.kr/
집적회로 및 시스템 설계,전기·정보공학부,최우석,104-1동 311호,https://sites.google.com/view/wschoi
차량동역학 및 제어연구실,기계공학부,이경수,"301동 213호, 314동 207호",http://vdcl.snu.ac.kr
차세대 박막소자 및 회로 연구실,전기·정보공학부,이수연,301동 1018호,https://sites.google.com/view/snu-acelab/home
차세대 반도체 소자 및 재료 연구실,전기·정보공학부,이철호,301동 1152-4호,https://sites.google.com/view/leegroupinsnu
차세대 유연성 소자 및 전자 회로 연구실,전기·정보공학부,홍용택,104-1동 510호,http://axel.snu.ac.kr
차세대선박해양공정연구실,조선해양공학과,임영섭,"34동 301,302호",http://asopel.snu.ac.kr
천둥 연구실,컴퓨터공학부,이재진,301동 515호,http://aces.snu.ac.kr
