시군구,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 강남구 개포동,디에이치아너힐즈,월세,59.7479,202307,"        65,000",           140,13,2019,삼성로 11,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,49.4013,202307,"        27,360",            35,1,2019,삼성로 11,-,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,84.3558,202307,"       100,000",           120,8,2019,삼성로 11,202310~202510,갱신,-,"94,500",0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,49.4013,202307,"        77,000",             0,5,2019,삼성로 11,202310~202510,갱신,사용,"97,000",0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,84.6348,202307,"        70,000",           260,7,2019,삼성로 11,202309~202509,갱신,-,"65,400",100
서울특별시 강남구 개포동,디에이치아너힐즈,전세,84.357,202307,"       131,500",             0,17,2019,삼성로 11,202309~202509,-,-, , 
서울특별시 강남구 개포동,디에이치아너힐즈,전세,84.3558,202307,"       130,000",             0,15,2019,삼성로 11,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,84.3558,202307,"        65,000",           280,6,2019,삼성로 11,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,84.357,202307,"       100,000",           100,9,2019,삼성로 11,202309~202509,갱신,사용,"100,000",180
서울특별시 강남구 개포동,디에이치아너힐즈,월세,59.8732,202307,"        20,000",           300,10,2019,삼성로 11,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,76.1709,202307,"       122,500",             0,21,2019,삼성로 11,202310~202510,갱신,사용,"157,000",0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,49.4013,202307,"        20,400",            70,3,2019,삼성로 11,-,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,59.7479,202307,"        50,000",           160,4,2019,삼성로 11,-,-,-, , 
서울특별시 강남구 개포동,래미안블레스티지,전세,59.967,202307,"        95,000",             0,8,2019,선릉로 8,202308~202508,갱신,-,"120,000",0
서울특별시 강남구 개포동,래미안블레스티지,월세,99.967,202307,"       100,000",           170,5,2019,선릉로 8,202307~202507,갱신,사용,"100,000",270
서울특별시 강남구 개포동,래미안블레스티지,월세,49.909,202307,"        55,000",           130,4,2019,선릉로 8,202308~202408,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,49.909,202307,"        73,000",             0,7,2019,선릉로 8,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,99.967,202307,"       126,000",             0,24,2019,선릉로 8,202307~202507,갱신,-,"126,000",0
서울특별시 강남구 개포동,래미안블레스티지,전세,84.943,202307,"       115,000",             0,3,2019,선릉로 8,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,59.837,202307,"        90,000",             0,17,2019,선릉로 8,202309~202409,갱신,-,"86,700",0
서울특별시 강남구 개포동,래미안블레스티지,전세,84.943,202307,"       120,000",             0,8,2019,선릉로 8,202307~202507,갱신,-,"94,500",0
서울특별시 강남구 개포동,래미안블레스티지,전세,99.919,202307,"       136,000",             0,16,2019,선릉로 8,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,59.888,202307,"        31,500",           252,4,2019,선릉로 8,202307~202507,갱신,사용,"30,000",240
서울특별시 강남구 개포동,래미안블레스티지,월세,59.888,202307,"        27,618",            39,5,2019,선릉로 8,-,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,99.991,202307,"       140,000",             0,3,2019,선릉로 8,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,59.837,202307,"        27,618",            39,3,2019,선릉로 8,-,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,59.837,202307,"        27,618",            39,1,2019,선릉로 8,-,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,99.991,202307,"        10,000",           474,26,2019,선릉로 8,202308~202508,갱신,사용,"10,000",450
서울특별시 강남구 개포동,래미안블레스티지,월세,59.888,202307,"        27,618",            39,1,2019,선릉로 8,-,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,59.888,202307,"        27,968",            37,1,2019,선릉로 8,-,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,99.979,202307,"       140,000",             0,31,2019,선릉로 8,-,-,-, , 
서울특별시 강남구 개포동,래미안블레스티지,월세,99.991,202307,"       100,000",           160,31,2019,선릉로 8,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,84.94,202307,"        70,000",           190,13,2019,선릉로 8,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,59.888,202307,"        27,968",            37,4,2019,선릉로 8,-,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,49.909,202307,"        70,000",             0,8,2019,선릉로 8,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,126.928,202307,"       190,000",             0,13,2019,선릉로 8,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,84.943,202307,"       103,000",            68,1,2019,선릉로 8,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,99.919,202307,"        80,000",           260,15,2019,선릉로 8,202309~202509,갱신,-,"80,000",320
서울특별시 강남구 개포동,래미안블레스티지,전세,126.928,202307,"       197,000",             0,28,2019,선릉로 8,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,59.888,202307,"        20,608",            74,6,2019,선릉로 8,-,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,월세,59.888,202307,"        60,000",           160,6,2019,선릉로 8,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,래미안블레스티지,전세,49.909,202307,"        70,000",             0,5,2019,선릉로 8,202311~202511,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,전세,51.12,202307,"        43,000",             0,4,1992,개포로109길 21,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,전세,39.53,202307,"        31,920",             0,1,1992,개포로109길 21,202308~202508,갱신,사용,"30,400",0
서울특별시 강남구 개포동,삼익대청아파트,전세,51.12,202307,"        45,000",             0,13,1992,개포로109길 21,202308~202508,갱신,사용,"55,000",0
서울특별시 강남구 개포동,삼익대청아파트,전세,39.53,202307,"        33,000",             0,7,1992,개포로109길 21,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,전세,39.53,202307,"        35,000",             0,15,1992,개포로109길 21,202310~202510,갱신,사용,"45,000",0
서울특별시 강남구 개포동,삼익대청아파트,전세,39.53,202307,"        31,500",             0,11,1992,개포로109길 21,-,-,-, , 
서울특별시 강남구 개포동,삼익대청아파트,월세,60,202307,"        30,000",           120,5,1992,개포로109길 21,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,월세,51.12,202307,"         1,000",           150,15,1992,개포로109길 21,202308~202312,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,월세,39.53,202307,"         3,000",           130,14,1992,개포로109길 21,-,-,-, , 
서울특별시 강남구 개포동,삼익대청아파트,월세,39.53,202307,"         3,000",           130,14,1992,개포로109길 21,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,월세,39.53,202307,"         3,000",           130,14,1992,개포로109길 21,-,-,-, , 
서울특별시 강남구 개포동,삼익대청아파트,전세,39.53,202307,"        38,000",             0,6,1992,개포로109길 21,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,전세,39.53,202307,"        31,000",             0,2,1992,개포로109길 21,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,월세,39.53,202307,           834,            94,15,1992,개포로109길 21,202307~202507,갱신,-,690,90
서울특별시 강남구 개포동,삼익대청아파트,전세,51.12,202307,"        50,000",             0,6,1992,개포로109길 21,202310~202510,갱신,사용,"55,000",0
서울특별시 강남구 개포동,삼익대청아파트,전세,60,202307,"        53,000",             0,9,1992,개포로109길 21,202309~202509,갱신,사용,"65,000",0
서울특별시 강남구 개포동,삼익대청아파트,전세,60,202307,"        55,000",             0,11,1992,개포로109길 21,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,전세,51.12,202307,"        44,000",             0,11,1992,개포로109길 21,-,-,-, , 
서울특별시 강남구 개포동,삼익대청아파트,전세,60,202307,"        50,000",             0,14,1992,개포로109길 21,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,삼익대청아파트,전세,39.53,202307,"        35,000",             0,1,1992,개포로109길 21,202308~202508,갱신,-,"45,000",0
서울특별시 강남구 개포동,성원대치2단지아파트,월세,39.53,202307,"        15,000",            80,15,1992,개포로109길 9,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,성원대치2단지아파트,전세,39.53,202307,"        30,000",             0,1,1992,개포로109길 9,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,성원대치2단지아파트,전세,33.18,202307,"        29,000",             0,10,1992,개포로109길 9,-,-,-, , 
서울특별시 강남구 개포동,성원대치2단지아파트,전세,33.18,202307,"        29,000",             0,10,1992,개포로109길 9,-,-,-, , 
서울특별시 강남구 개포동,성원대치2단지아파트,전세,33.18,202307,"        23,000",             0,1,1992,개포로109길 9,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,성원대치2단지아파트,전세,49.86,202307,"        42,000",             0,1,1992,개포로109길 9,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,성원대치2단지아파트,월세,33.18,202307,"         2,000",           105,9,1992,개포로109길 9,202308~202508,갱신,사용,"2,000",100
서울특별시 강남구 개포동,성원대치2단지아파트,전세,49.86,202307,"        42,000",             0,3,1992,개포로109길 9,202308~202508,신규,-,0,0
