동,count,mean,std,min,25%,50%,75%,max
대조동,6.0,23008.333333333332,14320.349739676985,11000.0,13437.5,20100.0,24250.0,50000.0
대치동,27.0,215370.37037037036,64910.67717560811,33500.0,199500.0,213000.0,246000.0,338000.0
대현동,3.0,93166.66666666667,30579.132318189364,67500.0,76250.0,85000.0,106000.0,127000.0
대흥동,11.0,107172.72727272728,59379.12244062033,17000.0,64100.0,127000.0,151500.0,160000.0
도곡동,21.0,177347.61904761905,90474.20416365993,25900.0,160000.0,175000.0,245000.0,355000.0
도림동,1.0,100000.0,,100000.0,100000.0,100000.0,100000.0,100000.0
도봉동,22.0,46068.181818181816,8602.346654568622,26000.0,46625.0,49350.0,52000.0,54500.0
도원동,2.0,65250.0,57629.202666703626,24500.0,44875.0,65250.0,85625.0,106000.0
도화동,3.0,99166.66666666667,40417.61167280092,52500.0,87250.0,122000.0,122500.0,123000.0
독산동,11.0,77045.45454545454,13764.909272230141,42500.0,76000.0,77000.0,78500.0,96000.0
돈암동,11.0,62772.72727272727,10934.72367360885,50000.0,53250.0,57000.0,72250.0,78500.0
동자동,1.0,208000.0,,208000.0,208000.0,208000.0,208000.0,208000.0
둔촌동,5.0,81460.0,26560.4593333775,46000.0,69000.0,85000.0,89300.0,118000.0
등촌동,27.0,62998.148148148146,12930.85517935746,33000.0,52650.0,64000.0,71900.0,87000.0
마곡동,24.0,106468.75,23570.23644759747,75000.0,90000.0,96500.0,119125.0,164000.0
마장동,7.0,68814.28571428571,30372.81836178683,17000.0,60000.0,69200.0,78750.0,118000.0
만리동2가,1.0,156000.0,,156000.0,156000.0,156000.0,156000.0,156000.0
망우동,4.0,31150.0,25329.10052357433,9500.0,9725.0,28150.0,49575.0,58800.0
망원동,3.0,73666.66666666667,15044.378795195677,58000.0,66500.0,75000.0,81500.0,88000.0
면목동,15.0,60870.0,29106.30638587747,24000.0,36375.0,52700.0,90400.0,101000.0
명일동,23.0,103089.13043478261,23785.958216990028,67000.0,91500.0,103250.0,112000.0,155000.0
목동,23.0,132752.1739130435,58796.48157040767,52000.0,108000.0,127000.0,158650.0,288000.0
무악동,2.0,111475.0,7813.52993211135,105950.0,108712.5,111475.0,114237.5,117000.0
묵동,9.0,68755.55555555556,33785.91093603631,32000.0,52800.0,60000.0,66000.0,149000.0
문래동3가,1.0,138000.0,,138000.0,138000.0,138000.0,138000.0,138000.0
문래동6가,1.0,51000.0,,51000.0,51000.0,51000.0,51000.0,51000.0
문배동,1.0,16000.0,,16000.0,16000.0,16000.0,16000.0,16000.0
문정동,20.0,161685.0,38713.18658789888,60000.0,153000.0,166500.0,181625.0,230000.0
미아동,25.0,62422.8,18959.926933755138,13600.0,55800.0,64000.0,74500.0,99000.0
반포동,21.0,284338.09523809527,97332.78212498847,130000.0,213000.0,297000.0,330000.0,530000.0
방배동,9.0,156111.11111111112,79368.12087425978,30000.0,155000.0,157500.0,172000.0,270000.0
